Date,Movie,Chain,Screenings,Screen_Share(%)
2019년 01월 13일(Sun),말모이,메가박스,1152,24.3%
2019년 01월 13일(Sun),말모이,씨네Q,59,22.3%
2019년 01월 13일(Sun),내안의 그놈,CGV,1398,18.9%
2019년 01월 13일(Sun),내안의 그놈,롯데시네마,1068,19.0%
2019년 01월 13일(Sun),내안의 그놈,메가박스,1009,21.3%
2019년 01월 13일(Sun),내안의 그놈,씨네Q,51,19.3%
2019년 01월 13일(Sun),주먹왕 랄프 2: 인터넷 속으로,CGV,1056,14.3%
2019년 01월 13일(Sun),주먹왕 랄프 2: 인터넷 속으로,롯데시네마,782,13.9%
2019년 01월 13일(Sun),주먹왕 랄프 2: 인터넷 속으로,메가박스,628,13.2%
2019년 01월 13일(Sun),주먹왕 랄프 2: 인터넷 속으로,씨네Q,45,17.0%
2019년 01월 13일(Sun),극장판 공룡메카드: 타이니소어의 섬,CGV,792,10.7%
2019년 01월 13일(Sun),극장판 공룡메카드: 타이니소어의 섬,롯데시네마,703,12.5%
2019년 01월 13일(Sun),극장판 공룡메카드: 타이니소어의 섬,메가박스,567,12.0%
2019년 01월 13일(Sun),극장판 공룡메카드: 타이니소어의 섬,씨네Q,21,8.0%
2019년 01월 13일(Sun),아쿠아맨,CGV,728,9.8%
2019년 01월 13일(Sun),아쿠아맨,롯데시네마,517,9.2%
2019년 01월 13일(Sun),아쿠아맨,메가박스,503,10.6%
2019년 01월 13일(Sun),아쿠아맨,씨네Q,37,14.0%
2019년 01월 14일(Mon),말모이,CGV,1769,25.4%
2019년 01월 14일(Mon),말모이,롯데시네마,1605,31.0%
2019년 01월 14일(Mon),말모이,메가박스,1112,25.2%
2019년 01월 14일(Mon),말모이,씨네Q,51,24.1%
2019년 01월 14일(Mon),내안의 그놈,CGV,1442,20.7%
2019년 01월 14일(Mon),내안의 그놈,롯데시네마,1107,21.4%
2019년 01월 14일(Mon),내안의 그놈,메가박스,1013,23.0%
2019년 01월 14일(Mon),내안의 그놈,씨네Q,45,21.2%
2019년 01월 14일(Mon),주먹왕 랄프 2: 인터넷 속으로,CGV,947,13.6%
2019년 01월 14일(Mon),주먹왕 랄프 2: 인터넷 속으로,롯데시네마,645,12.4%
2019년 01월 14일(Mon),주먹왕 랄프 2: 인터넷 속으로,메가박스,594,13.5%
2019년 01월 14일(Mon),주먹왕 랄프 2: 인터넷 속으로,씨네Q,36,17.0%
2019년 01월 14일(Mon),아쿠아맨,CGV,683,9.8%
2019년 01월 14일(Mon),아쿠아맨,롯데시네마,490,9.5%
2019년 01월 14일(Mon),아쿠아맨,메가박스,501,11.4%
2019년 01월 14일(Mon),아쿠아맨,씨네Q,29,13.7%
2019년 01월 14일(Mon),극장판 공룡메카드: 타이니소어의 섬,CGV,491,7.1%
2019년 01월 14일(Mon),극장판 공룡메카드: 타이니소어의 섬,롯데시네마,427,8.2%
2019년 01월 14일(Mon),극장판 공룡메카드: 타이니소어의 섬,메가박스,333,7.6%
2019년 01월 14일(Mon),극장판 공룡메카드: 타이니소어의 섬,씨네Q,11,5.2%
2019년 01월 15일(Tue),말모이,CGV,1786,25.8%
2019년 01월 15일(Tue),말모이,롯데시네마,1586,30.5%
2019년 01월 15일(Tue),말모이,메가박스,1115,25.3%
2019년 01월 15일(Tue),말모이,씨네Q,56,23.1%
2019년 01월 15일(Tue),내안의 그놈,CGV,1496,21.6%
2019년 01월 15일(Tue),내안의 그놈,롯데시네마,1140,21.9%
2019년 01월 15일(Tue),내안의 그놈,메가박스,1018,23.1%
2019년 01월 15일(Tue),내안의 그놈,씨네Q,53,21.9%
2019년 01월 15일(Tue),주먹왕 랄프 2: 인터넷 속으로,CGV,921,13.3%
2019년 01월 15일(Tue),주먹왕 랄프 2: 인터넷 속으로,롯데시네마,647,12.4%
2019년 01월 15일(Tue),주먹왕 랄프 2: 인터넷 속으로,메가박스,581,13.2%
2019년 01월 15일(Tue),주먹왕 랄프 2: 인터넷 속으로,씨네Q,39,16.1%
2019년 01월 15일(Tue),아쿠아맨,CGV,658,9.5%
2019년 01월 15일(Tue),아쿠아맨,롯데시네마,495,9.5%
2019년 01월 15일(Tue),아쿠아맨,메가박스,484,11.0%
2019년 01월 15일(Tue),아쿠아맨,씨네Q,31,12.8%
2019년 01월 15일(Tue),극장판 공룡메카드: 타이니소어의 섬,CGV,429,6.2%
2019년 01월 15일(Tue),극장판 공룡메카드: 타이니소어의 섬,롯데시네마,411,7.9%
2019년 01월 15일(Tue),극장판 공룡메카드: 타이니소어의 섬,메가박스,306,6.9%
2019년 01월 15일(Tue),극장판 공룡메카드: 타이니소어의 섬,씨네Q,16,6.6%
2019년 01월 16일(Wed),말모이,CGV,1479,20.7%
2019년 01월 16일(Wed),말모이,롯데시네마,1326,25.3%
2019년 01월 16일(Wed),말모이,메가박스,934,20.8%
2019년 01월 16일(Wed),말모이,씨네Q,47,20.3%
2019년 01월 16일(Wed),내안의 그놈,CGV,1286,18.0%
2019년 01월 16일(Wed),내안의 그놈,롯데시네마,1187,22.6%
2019년 01월 16일(Wed),내안의 그놈,메가박스,920,20.5%
2019년 01월 16일(Wed),내안의 그놈,씨네Q,47,20.3%
2019년 01월 16일(Wed),그대 이름은 장미,CGV,478,6.7%
